experiment,feature,model,target,seed,n_samples,RMSE,MAE,R2,Pearson_R,Spearman_R,MAPE,sMAPE,NRMSE
predictions_OpenADMET_Phase4_FNN,ECFP,FNN,MLM CLint,2,905,849.8600309450974,446.05425975807464,0.3648709293188881,0.6041587713093141,0.6658680493994239,178.7705221842673,90.39331854870306,1.4288984847840838
predictions_OpenADMET_Phase4_FNN,ECFP,FNN,MLM CLint,3,905,833.9338056399662,462.2685065232588,0.29050453770780726,0.5402200569060076,0.6530399873450562,216.47689204786,88.5111659296346,1.4769188173301409
predictions_OpenADMET_Phase4_FNN,ECFP,FNN,MLM CLint,4,905,864.6792186293619,405.11875783720063,0.35408329866458177,0.6057501094863667,0.7008152938118437,138.68623753654092,77.64524872131103,1.512223817096156
predictions_OpenADMET_Phase4_FNN,MACCS,FNN,HLM CLint,0,752,110.14965213104401,42.54154176388649,0.17193049251430104,0.47572417197433287,0.5900115989108147,139.8223311402629,81.4624110275998,2.08228686066196
predictions_OpenADMET_Phase4_FNN,MACCS,FNN,HLM CLint,1,752,100.56467124600452,46.30572231075865,0.3704714594842671,0.6131498104054439,0.5181051404091639,293.59349877258836,102.24643981178458,1.930495020303168
predictions_OpenADMET_Phase4_FNN,MACCS,FNN,HLM CLint,2,752,98.20949474366493,38.460463333193296,0.3941193559552286,0.6381608687978775,0.6083391448308476,140.5824207835921,79.50403210072294,1.8246479981000558
predictions_OpenADMET_Phase4_FNN,MACCS,FNN,HLM CLint,3,752,128.21093378890833,43.18581815996068,-0.06541910434524989,0.4661254384194615,0.6560466050634776,131.6915797988323,79.4394608810641,2.3457860648614313
predictions_OpenADMET_Phase4_FNN,MACCS,FNN,HLM CLint,4,752,116.96880021881142,46.24695320665202,0.29302947651555344,0.5421724848593188,0.47387711480159345,223.20638134542773,89.69802907706269,2.200966802146422
predictions_OpenADMET_Phase4_FNN,MACCS,FNN,KSOL,0,1026,82.53121687622009,63.34342133900841,0.49829469400928306,0.7071762315856283,0.7052199714814782,104.00885518900773,75.81452134654931,0.5882903834624066
predictions_OpenADMET_Phase4_FNN,MACCS,FNN,KSOL,1,1026,82.70718722047708,63.95708203257198,0.4734842646696974,0.6881856026512011,0.6677295796222378,79.32078225273105,71.14875234039962,0.5760254078752209
predictions_OpenADMET_Phase4_FNN,MACCS,FNN,KSOL,2,1026,83.90042812415457,65.0917715567552,0.4667298605055392,0.6835738982562264,0.6744097815069223,66.4353578632032,69.75791176704375,0.5604669949895713
predictions_OpenADMET_Phase4_FNN,MACCS,FNN,KSOL,3,1026,82.91700681146014,63.78979334469994,0.48244461390456783,0.6966125961116149,0.6813945695455697,83.34840713662122,69.92168267172738,0.5624564866866992
predictions_OpenADMET_Phase4_FNN,MACCS,FNN,KSOL,4,1026,86.18910597993855,66.50541183849103,0.44971302864626095,0.6712871808845088,0.6610670735054432,70.57764313596634,72.05232471676867,0.5800176837708267
predictions_OpenADMET_Phase4_FNN,MACCS,FNN,LogD,0,1008,0.5714332764310873,0.4358288016584184,0.7544333884840335,0.868788605682176,0.856634972549768,18.196498966443077,28.618866342950838,0.2603058309003512
predictions_OpenADMET_Phase4_FNN,MACCS,FNN,LogD,1,1008,0.6004350751106027,0.448024784430625,0.7478372419222448,0.8664151645725682,0.8541763252146848,18.33443285277586,28.96362549259744,0.2730112119103108
predictions_OpenADMET_Phase4_FNN,MACCS,FNN,LogD,2,1008,0.6737110416674718,0.47718440019784286,0.7049123048030763,0.8409228438407816,0.837451737677457,20.46593938057551,32.77732157778825,0.3101058176033394
predictions_OpenADMET_Phase4_FNN,MACCS,FNN,LogD,3,1008,0.5756639094560818,0.4369085913257939,0.7589914927275153,0.8712497600031082,0.8583172200041862,18.919998673852522,28.087047130217357,0.2650115184074796
predictions_OpenADMET_Phase4_FNN,MACCS,FNN,LogD,4,1008,0.5749485995079179,0.4368091563915923,0.7525551383312785,0.8675338848510292,0.8498918826494577,18.94901009047256,30.747917831651613,0.26531230007198214
predictions_OpenADMET_Phase4_FNN,MACCS,FNN,MLM CLint,0,905,1055.9729751110501,459.7407763132338,-0.17240599642054177,0.40371177424688065,0.6704242831747155,147.0533346387969,85.56926490934643,1.8757248334111842
predictions_OpenADMET_Phase4_FNN,MACCS,FNN,MLM CLint,1,905,891.7254358187255,404.88701583609395,0.3031834453780583,0.5682211814492258,0.7116539724089924,109.73455932825327,82.5017167076645,1.569642038062215
